dataset,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
synthetic,Not-Applicable,NormalPredictor,0.25,1,1.608937067629599,2.588678487592533,1.2951704183502757
synthetic,Not-Applicable,SVD,0.25,1,1.1446477062102671,1.3102183713324262,0.9278661097984772
synthetic,Not-Applicable,k-NN,0.25,1,1.1040469299250089,1.2189196234768374,0.8970826430002259
synthetic,Not-Applicable,NMF,0.25,1,1.0834005413858112,1.1737567330750687,0.8817695724213862
synthetic,Not-Applicable,Co-Clustering,0.25,1,1.0683883803660474,1.141453731301186,0.8758732827095076
synthetic,Not-Applicable,SlopeOne,0.25,1,1.1799189264218313,1.3922086729284469,0.9518731585393508
synthetic,Louvain,NormalPredictor,0.25,1,1.6242007201464155,2.638027979324135,1.3173549499865356
synthetic,Louvain,SVD,0.25,1,1.0652931165425836,1.1348494241530107,0.8555077151624013
synthetic,Louvain,k-NN,0.25,1,1.0158499897676156,1.0319512017108647,0.8198715349729834
synthetic,Louvain,NMF,0.25,1,1.0866919949030682,1.1808994917864102,0.889651828415496
synthetic,Louvain,Co-Clustering,0.25,1,1.0319563550906632,1.064933918812007,0.84810162448046
synthetic,Louvain,SlopeOne,0.25,1,1.0455187241981598,1.0931094026489476,0.8439949387521039
synthetic,Paris,NormalPredictor,0.25,1,1.6196581197641198,2.6232924249178438,1.3021616165899543
synthetic,Paris,SVD,0.25,1,1.1183592530703925,1.2507274189281663,0.8990012793459755
synthetic,Paris,k-NN,0.25,1,1.0870308310989507,1.1816360277596754,0.8722014540581833
synthetic,Paris,NMF,0.25,1,1.1300331862236193,1.2769750019667048,0.9114777912700858
synthetic,Paris,Co-Clustering,0.25,1,1.1756216095570766,1.3820861688575714,0.9428202430959641
synthetic,Paris,SlopeOne,0.25,1,1.1203555137590986,1.2551964772104138,0.8961099006149642
synthetic,Not-Applicable,NormalPredictor,0.25,2,1.6564530052586433,2.7438365586303908,1.3385382526463467
synthetic,Not-Applicable,SVD,0.25,2,1.1710179478837774,1.3712830342659335,0.9464356083925494
synthetic,Not-Applicable,k-NN,0.25,2,1.1283979078543496,1.2732818384500733,0.9234295151774273
synthetic,Not-Applicable,NMF,0.25,2,1.0881636432652595,1.1841001145243228,0.8805389328147157
synthetic,Not-Applicable,Co-Clustering,0.25,2,1.1016860784526097,1.2137122154562896,0.8923762328239154
synthetic,Not-Applicable,SlopeOne,0.25,2,1.209912935882494,1.4638893124157961,0.9760122009678708
synthetic,Louvain,NormalPredictor,0.25,2,1.6191777719973979,2.621736657330457,1.3045091421813046
synthetic,Louvain,SVD,0.25,2,1.0756604550478825,1.1570454145538176,0.8731755233081578
synthetic,Louvain,k-NN,0.25,2,1.0238174495014873,1.0482021699037307,0.8416343955339604
synthetic,Louvain,NMF,0.25,2,1.0802740216580682,1.1669919618692965,0.8917479430262029
synthetic,Louvain,Co-Clustering,0.25,2,1.0775954687325946,1.1612119942330201,0.8792901280229117
synthetic,Louvain,SlopeOne,0.25,2,1.0413206723215533,1.084348742604212,0.8563271715090676
synthetic,Paris,NormalPredictor,0.25,2,1.6256845286027966,2.642850186538497,1.313822744556948
synthetic,Paris,SVD,0.25,2,1.131215526313909,1.2796485669736541,0.9104626310980232
synthetic,Paris,k-NN,0.25,2,1.0995460717467587,1.2090015638937284,0.8918274636927438
