dataset,community_detector,community,algorithm_rec,test_size,split_id,train_runtime,test_runtime
synthetic,Not-Applicable,,NormalPredictor,0.25,1,0.0030088424682617188,0.0058650970458984375
synthetic,Not-Applicable,,SVD,0.25,1,0.026604175567626953,0.005841732025146484
synthetic,Not-Applicable,,k-NN,0.25,1,0.005435943603515625,0.03992915153503418
synthetic,Not-Applicable,,NMF,0.25,1,0.02482295036315918,0.00462794303894043
synthetic,Not-Applicable,,Co-Clustering,0.25,1,0.043572187423706055,0.0029981136322021484
synthetic,Not-Applicable,,SlopeOne,0.25,1,0.004042625427246094,0.024596452713012695
synthetic,Louvain,1.0,NormalPredictor,0.25,1,0.0010046958923339844,0.001989603042602539
synthetic,Louvain,2.0,NormalPredictor,0.25,1,0.002541780471801758,0.004001140594482422
synthetic,Louvain,3.0,NormalPredictor,0.25,1,0.000993967056274414,0.0010120868682861328
synthetic,Louvain,1.0,SVD,0.25,1,0.004082202911376953,0.002774477005004883
synthetic,Louvain,2.0,SVD,0.25,1,0.012598276138305664,0.00279998779296875
synthetic,Louvain,3.0,SVD,0.25,1,0.0040929317474365234,0.001911163330078125
synthetic,Louvain,1.0,k-NN,0.25,1,0.0010762214660644531,0.0020017623901367188
synthetic,Louvain,2.0,k-NN,0.25,1,0.0009999275207519531,0.016084671020507812
synthetic,Louvain,3.0,k-NN,0.25,1,0.0009560585021972656,0.00301361083984375
synthetic,Louvain,1.0,NMF,0.25,1,0.006743192672729492,0.001905679702758789
synthetic,Louvain,2.0,NMF,0.25,1,0.01724696159362793,0.0029058456420898438
synthetic,Louvain,3.0,NMF,0.25,1,0.007054328918457031,0.004205942153930664
synthetic,Louvain,1.0,Co-Clustering,0.25,1,0.012305259704589844,0.00156402587890625
synthetic,Louvain,2.0,Co-Clustering,0.25,1,0.028021812438964844,0.002412080764770508
synthetic,Louvain,3.0,Co-Clustering,0.25,1,0.01261591911315918,0.002102375030517578
synthetic,Louvain,1.0,SlopeOne,0.25,1,0.0010707378387451172,0.003966569900512695
synthetic,Louvain,2.0,SlopeOne,0.25,1,0.001001596450805664,0.012474298477172852
synthetic,Louvain,3.0,SlopeOne,0.25,1,0.0010328292846679688,0.0019991397857666016
synthetic,Paris,1.0,NormalPredictor,0.25,1,0.002184629440307617,0.004744768142700195
synthetic,Paris,2.0,NormalPredictor,0.25,1,0.0,0.0021903514862060547
synthetic,Paris,1.0,SVD,0.25,1,0.017767906188964844,0.004598855972290039
synthetic,Paris,2.0,SVD,0.25,1,0.04329657554626465,0.0030045509338378906
synthetic,Paris,1.0,k-NN,0.25,1,0.003185272216796875,0.032312870025634766
synthetic,Paris,2.0,k-NN,0.25,1,0.00099945068359375,0.0030896663665771484
synthetic,Paris,1.0,NMF,0.25,1,0.019742965698242188,0.003991127014160156
synthetic,Paris,2.0,NMF,0.25,1,0.00986170768737793,0.002428770065307617
synthetic,Paris,1.0,Co-Clustering,0.25,1,0.0415952205657959,0.004003286361694336
synthetic,Paris,2.0,Co-Clustering,0.25,1,0.01623845100402832,0.0009999275207519531
synthetic,Paris,1.0,SlopeOne,0.25,1,0.0019998550415039062,0.016697168350219727
synthetic,Paris,2.0,SlopeOne,0.25,1,0.0010352134704589844,0.004638195037841797
synthetic,Not-Applicable,,NormalPredictor,0.25,2,0.002002239227294922,0.005176544189453125
synthetic,Not-Applicable,,SVD,0.25,2,0.020722627639770508,0.004998445510864258
synthetic,Not-Applicable,,k-NN,0.25,2,0.0030744075775146484,0.037162065505981445
synthetic,Not-Applicable,,NMF,0.25,2,0.025781631469726562,0.005132436752319336
synthetic,Not-Applicable,,Co-Clustering,0.25,2,0.03932976722717285,0.004487514495849609
synthetic,Not-Applicable,,SlopeOne,0.25,2,0.0029752254486083984,0.01664900779724121
synthetic,Louvain,1.0,NormalPredictor,0.25,2,0.0010004043579101562,0.0010788440704345703
synthetic,Louvain,2.0,NormalPredictor,0.25,2,0.0010008811950683594,0.0009992122650146484
synthetic,Louvain,3.0,NormalPredictor,0.25,2,0.0010051727294921875,0.0026166439056396484
synthetic,Louvain,4.0,NormalPredictor,0.25,2,0.0010771751403808594,0.001997232437133789
synthetic,Louvain,1.0,SVD,0.25,2,0.0077631473541259766,0.0036542415618896484
synthetic,Louvain,2.0,SVD,0.25,2,0.005002260208129883,0.001506805419921875
synthetic,Louvain,3.0,SVD,0.25,2,0.007003068923950195,0.0015082359313964844
synthetic,Louvain,4.0,SVD,0.25,2,0.003998756408691406,0.0010006427764892578
synthetic,Louvain,1.0,k-NN,0.25,2,0.0010013580322265625,0.0049974918365478516
synthetic,Louvain,2.0,k-NN,0.25,2,0.0010039806365966797,0.0019981861114501953
synthetic,Louvain,3.0,k-NN,0.25,2,0.0,0.005750894546508789
synthetic,Louvain,4.0,k-NN,0.25,2,0.0,0.0020029544830322266
synthetic,Louvain,1.0,NMF,0.25,2,0.010042190551757812,0.0017559528350830078
synthetic,Louvain,2.0,NMF,0.25,2,0.006000041961669922,0.0026061534881591797
synthetic,Louvain,3.0,NMF,0.25,2,0.007658720016479492,0.0019259452819824219
synthetic,Louvain,4.0,NMF,0.25,2,0.006722927093505859,0.0009999275207519531
synthetic,Louvain,1.0,Co-Clustering,0.25,2,0.018015146255493164,0.0020418167114257812
synthetic,Louvain,2.0,Co-Clustering,0.25,2,0.015333414077758789,0.00098419189453125
synthetic,Louvain,3.0,Co-Clustering,0.25,2,0.014510631561279297,0.0029993057250976562
synthetic,Louvain,4.0,Co-Clustering,0.25,2,0.01073312759399414,0.001963376998901367
synthetic,Louvain,1.0,SlopeOne,0.25,2,0.0010006427764892578,0.005745887756347656
synthetic,Louvain,2.0,SlopeOne,0.25,2,0.0,0.00396275520324707
synthetic,Louvain,3.0,SlopeOne,0.25,2,0.0,0.006078958511352539
synthetic,Louvain,4.0,SlopeOne,0.25,2,0.0,0.004622936248779297
synthetic,Paris,1.0,NormalPredictor,0.25,2,0.0020055770874023438,0.0035521984100341797
synthetic,Paris,2.0,NormalPredictor,0.25,2,0.0010001659393310547,0.0026085376739501953
synthetic,Paris,1.0,SVD,0.25,2,0.01250600814819336,0.004111766815185547
synthetic,Paris,2.0,SVD,0.25,2,0.008596658706665039,0.003000020980834961
synthetic,Paris,1.0,k-NN,0.25,2,0.0009999275207519531,0.013510465621948242
synthetic,Paris,2.0,k-NN,0.25,2,0.0009996891021728516,0.008536815643310547
synthetic,Paris,1.0,NMF,0.25,2,0.014552116394042969,0.0029997825622558594
synthetic,Paris,2.0,NMF,0.25,2,0.011506795883178711,0.0030014514923095703
synthetic,Paris,1.0,Co-Clustering,0.25,2,0.024849891662597656,0.004090309143066406
synthetic,Paris,2.0,Co-Clustering,0.25,2,0.028133392333984375,0.0023827552795410156
synthetic,Paris,1.0,SlopeOne,0.25,2,0.0029609203338623047,0.011925458908081055
synthetic,Paris,2.0,SlopeOne,0.25,2,0.0009937286376953125,0.007376432418823242
synthetic,Not-Applicable,,NormalPredictor,0.25,3,0.004436016082763672,0.00437617301940918
synthetic,Not-Applicable,,SVD,0.25,3,0.020842313766479492,0.006086111068725586
synthetic,Not-Applicable,,k-NN,0.25,3,0.0020792484283447266,0.0375213623046875
synthetic,Not-Applicable,,NMF,0.25,3,0.02378106117248535,0.0029897689819335938
synthetic,Not-Applicable,,Co-Clustering,0.25,3,0.037865400314331055,0.003600597381591797
synthetic,Not-Applicable,,SlopeOne,0.25,3,0.0029993057250976562,0.018248796463012695
synthetic,Louvain,1.0,NormalPredictor,0.25,3,0.0019578933715820312,0.004303455352783203
synthetic,Louvain,2.0,NormalPredictor,0.25,3,0.0,0.0020003318786621094
synthetic,Louvain,3.0,NormalPredictor,0.25,3,0.0,0.0010008811950683594
synthetic,Louvain,1.0,SVD,0.25,3,0.012627840042114258,0.003007173538208008
synthetic,Louvain,2.0,SVD,0.25,3,0.004963397979736328,0.0019941329956054688
synthetic,Louvain,3.0,SVD,0.25,3,0.00408935546875,0.00191497802734375
synthetic,Louvain,1.0,k-NN,0.25,3,0.0009768009185791016,0.013755559921264648
synthetic,Louvain,2.0,k-NN,0.25,3,0.0,0.004418134689331055
synthetic,Louvain,3.0,k-NN,0.25,3,0.0,0.00301361083984375
synthetic,Louvain,1.0,NMF,0.25,3,0.01569676399230957,0.003244161605834961
synthetic,Louvain,2.0,NMF,0.25,3,0.006805419921875,0.0009877681732177734
synthetic,Louvain,3.0,NMF,0.25,3,0.006647825241088867,0.0019998550415039062
synthetic,Louvain,1.0,Co-Clustering,0.25,3,0.026077985763549805,0.003626585006713867
synthetic,Louvain,2.0,Co-Clustering,0.25,3,0.012734413146972656,0.0010042190551757812
synthetic,Louvain,3.0,Co-Clustering,0.25,3,0.01311039924621582,0.002038717269897461
synthetic,Louvain,1.0,SlopeOne,0.25,3,0.0015881061553955078,0.01058816909790039
synthetic,Louvain,2.0,SlopeOne,0.25,3,0.0010058879852294922,0.003047943115234375
synthetic,Louvain,3.0,SlopeOne,0.25,3,0.001001596450805664,0.002527475357055664
synthetic,Paris,1.0,NormalPredictor,0.25,3,0.002000570297241211,0.005514860153198242
synthetic,Paris,2.0,NormalPredictor,0.25,3,0.0009996891021728516,0.0009996891021728516
synthetic,Paris,3.0,NormalPredictor,0.25,3,0.0,0.002001523971557617
synthetic,Paris,1.0,SVD,0.25,3,0.014054536819458008,0.006390810012817383
synthetic,Paris,2.0,SVD,0.25,3,0.0052356719970703125,0.002000093460083008
synthetic,Paris,3.0,SVD,0.25,3,0.004004240036010742,0.0010001659393310547
synthetic,Paris,1.0,k-NN,0.25,3,0.0009999275207519531,0.011593818664550781
synthetic,Paris,2.0,k-NN,0.25,3,0.0,0.003527402877807617
synthetic,Paris,3.0,k-NN,0.25,3,0.0,0.0019996166229248047
synthetic,Paris,1.0,NMF,0.25,3,0.014515876770019531,0.005686283111572266
synthetic,Paris,2.0,NMF,0.25,3,0.0082550048828125,0.0010495185852050781
synthetic,Paris,3.0,NMF,0.25,3,0.011009693145751953,0.0020122528076171875
synthetic,Paris,1.0,Co-Clustering,0.25,3,0.03566575050354004,0.002270221710205078
synthetic,Paris,2.0,Co-Clustering,0.25,3,0.013653278350830078,0.0010879039764404297
synthetic,Paris,3.0,Co-Clustering,0.25,3,0.013629674911499023,0.0010368824005126953
synthetic,Paris,1.0,SlopeOne,0.25,3,0.0021762847900390625,0.011946916580200195
synthetic,Paris,2.0,SlopeOne,0.25,3,0.0,0.006508827209472656
synthetic,Paris,3.0,SlopeOne,0.25,3,0.0,0.0035631656646728516
synthetic,Not-Applicable,,NormalPredictor,0.25,4,0.0029268264770507812,0.0048978328704833984
synthetic,Not-Applicable,,SVD,0.25,4,0.02096247673034668,0.005598545074462891
synthetic,Not-Applicable,,k-NN,0.25,4,0.0030014514923095703,0.03737235069274902
synthetic,Not-Applicable,,NMF,0.25,4,0.024862051010131836,0.006026029586791992
synthetic,Not-Applicable,,Co-Clustering,0.25,4,0.04120612144470215,0.0030341148376464844
synthetic,Not-Applicable,,SlopeOne,0.25,4,0.003927946090698242,0.01829981803894043
synthetic,Louvain,1.0,NormalPredictor,0.25,4,0.001003265380859375,0.0019998550415039062
synthetic,Louvain,2.0,NormalPredictor,0.25,4,0.0009999275207519531,0.0019996166229248047
synthetic,Louvain,3.0,NormalPredictor,0.25,4,0.0010113716125488281,0.0009999275207519531
synthetic,Louvain,4.0,NormalPredictor,0.25,4,0.0010001659393310547,0.0010008811950683594
synthetic,Louvain,1.0,SVD,0.25,4,0.0050351619720458984,0.0010001659393310547
synthetic,Louvain,2.0,SVD,0.25,4,0.005623579025268555,0.002016305923461914
