detector,size,algorec,best_n
Louvain,0.25,Co-Clustering,4.0
Louvain,0.25,NMF,2.0
Louvain,0.25,NormalPredictor,1.0
Louvain,0.25,SVD,4.0
Louvain,0.25,SlopeOne,4.0
Louvain,0.25,k-NN,4.0
Louvain,0.1,Co-Clustering,4.0
Louvain,0.1,NMF,4.0
Louvain,0.1,NormalPredictor,1.0
Louvain,0.1,SVD,4.0
Louvain,0.1,SlopeOne,4.0
Louvain,0.1,k-NN,4.0
Louvain,0.01,Co-Clustering,3.0
Louvain,0.01,NMF,1.0
Louvain,0.01,NormalPredictor,1.0
Louvain,0.01,SVD,3.0
Louvain,0.01,SlopeOne,3.0
Louvain,0.01,k-NN,1.0
Paris,0.25,Co-Clustering,3.0
Paris,0.25,NMF,3.0
Paris,0.25,NormalPredictor,2.0
Paris,0.25,SVD,3.0
Paris,0.25,SlopeOne,3.0
Paris,0.25,k-NN,2.0
Paris,0.1,Co-Clustering,3.0
Paris,0.1,NMF,2.0
Paris,0.1,NormalPredictor,1.0
Paris,0.1,SVD,3.0
Paris,0.1,SlopeOne,3.0
Paris,0.1,k-NN,3.0
Paris,0.01,Co-Clustering,1.0
Paris,0.01,NMF,1.0
Paris,0.01,NormalPredictor,2.0
Paris,0.01,SVD,2.0
Paris,0.01,SlopeOne,1.0
Paris,0.01,k-NN,1.0
