community_detector,used_communities,algorithm_rec,test_size,split_id,rmse,mse,mae
Not-Applicable,,NormalPredictor,0.25,1,1.512916979472229,2.288917786775373,1.2179654674014468
Not-Applicable,,SVD,0.25,1,0.9446335706671,0.8923325828312749,0.7460725334294689
Not-Applicable,,k-NN,0.25,1,0.9864947116179268,0.9731718160501366,0.7800847204220784
Not-Applicable,,NMF,0.25,1,0.975951887220549,0.9524820861693513,0.7687434077598059
Not-Applicable,,Co-Clustering,0.25,1,0.9721485867826524,0.9450728747835082,0.7604228155897439
Not-Applicable,,SlopeOne,0.25,1,0.9508303424896631,0.90407834019901,0.7475362473673944
Louvain,1.0,NormalPredictor,0.25,1,1.5163622508092447,2.2993544756792788,1.2179930782131319
Louvain,2.0,NormalPredictor,0.25,1,1.5163003594496947,2.299166780067273,1.2184361590376889
Louvain,3.0,NormalPredictor,0.25,1,1.5174530395173957,2.302663727140583,1.2195677365457003
Louvain,4.0,NormalPredictor,0.25,1,1.514726679459233,2.2943969134655937,1.2166746877799748
Louvain,1.0,SVD,0.25,1,1.2153035410559418,1.4769626969031113,0.9960187410301617
Louvain,2.0,SVD,0.25,1,1.2061506582603476,1.4547994104218698,0.9883940878063463
Louvain,3.0,SVD,0.25,1,1.2029513835779573,1.4470920312521218,0.9858465533799672
Louvain,4.0,SVD,0.25,1,1.1995743226630238,1.4389785555924524,0.9829143637952026
Louvain,1.0,k-NN,0.25,1,1.4441613522330483,2.0856020112835867,1.1691420142819338
Louvain,2.0,k-NN,0.25,1,1.4623971371352396,2.138605386701345,1.1778485602647888
Louvain,3.0,k-NN,0.25,1,1.455304745553226,2.1179119024297397,1.171500538239041
Louvain,4.0,k-NN,0.25,1,1.4424065386655436,2.080536622785114,1.160375880927381
Louvain,1.0,NMF,0.25,1,1.4794049173466493,2.188638909469446,1.2016065727512941
Louvain,2.0,NMF,0.25,1,1.4956484796043685,2.2369643745428593,1.21186878163689
Louvain,3.0,NMF,0.25,1,1.4897528965621853,2.2193636928154215,1.2080105505187726
Louvain,4.0,NMF,0.25,1,1.4829804153036181,2.1992309121740914,1.2024334339509526
Louvain,1.0,Co-Clustering,0.25,1,1.4717902403317302,2.1661665115357325,1.1909861383886056
Louvain,2.0,Co-Clustering,0.25,1,1.4780605866571719,2.1846630978293433,1.1927136741409095
Louvain,3.0,Co-Clustering,0.25,1,1.4698269210997463,2.1603911779895597,1.1861627054295403
Louvain,4.0,Co-Clustering,0.25,1,1.4568443299632885,2.122395401746183,1.1753883682254231
Louvain,1.0,SlopeOne,0.25,1,1.4411395375334748,2.076883166642198,1.1698324272347822
Louvain,2.0,SlopeOne,0.25,1,1.4335518952562922,2.0550710363929072,1.1634683205101641
Louvain,3.0,SlopeOne,0.25,1,1.4258834234482198,2.0331435372644155,1.15768787291191
Louvain,4.0,SlopeOne,0.25,1,1.4183053347783008,2.0115900226605876,1.1511626548913967
Paris,1.0,NormalPredictor,0.25,1,1.5260181260536831,2.328731321044395,1.2264895833954779
Paris,2.0,NormalPredictor,0.25,1,1.524115206054029,2.3229271613251155,1.2245426571628244
Paris,3.0,NormalPredictor,0.25,1,1.5241600772057202,2.323063940947747,1.2237225967953311
Paris,1.0,SVD,0.25,1,1.2084551597957145,1.4603638732368858,0.9917226941438093
Paris,2.0,SVD,0.25,1,1.203574855705518,1.4485924332865583,0.9877234130706604
Paris,3.0,SVD,0.25,1,1.1996981785093077,1.4392757195185508,0.984403249703213
Paris,1.0,k-NN,0.25,1,1.4926150589930776,2.2278997143329082,1.2033476091436313
Paris,2.0,k-NN,0.25,1,1.4705242075942326,2.162441445120646,1.1855138133628125
Paris,3.0,k-NN,0.25,1,1.4677685068876045,2.154344389811068,1.1817075671053103
Paris,1.0,NMF,0.25,1,1.5216195457201216,2.3153260419175092,1.237118239072128
Paris,2.0,NMF,0.25,1,1.5024289804923119,2.2572928414231677,1.2202756671819899
Paris,3.0,NMF,0.25,1,1.5002125947969438,2.250637829587379,1.217947495841524
Paris,1.0,Co-Clustering,0.25,1,1.5051877990070475,2.2655903102796797,1.2178531627928635
Paris,2.0,Co-Clustering,0.25,1,1.4844055849799476,2.2034599407196604,1.2004706483745287
Paris,3.0,Co-Clustering,0.25,1,1.4796448824503246,2.189348978161435,1.1956695543504512
Paris,1.0,SlopeOne,0.25,1,1.454588677324783,2.1158282202014616,1.1821993792628063
Paris,2.0,SlopeOne,0.25,1,1.444777586296724,2.087382273865388,1.173707897762057
Paris,3.0,SlopeOne,0.25,1,1.4415122191772995,2.077957478037463,1.170691798600031
Not-Applicable,,NormalPredictor,0.25,2,1.5214850079198219,2.3149166293247805,1.2229376437171302
Not-Applicable,,SVD,0.25,2,0.939948619477555,0.8835034072577616,0.7422161237399577
Not-Applicable,,k-NN,0.25,2,0.9815835021041689,0.9635061716030849,0.7769175479584935
Not-Applicable,,NMF,0.25,2,0.9690946285766401,0.9391443991360959,0.7643813834293011
Not-Applicable,,Co-Clustering,0.25,2,0.9690302842782047,0.9390196918482983,0.7587350874262396
Not-Applicable,,SlopeOne,0.25,2,0.9482641066149686,0.8992048158942846,0.7465042422594645
Louvain,1.0,NormalPredictor,0.25,2,1.5256170877973583,2.3275074985792923,1.2269158309781605
Louvain,2.0,NormalPredictor,0.25,2,1.5237753832819372,2.3218914186960147,1.2247415597129279
Louvain,3.0,NormalPredictor,0.25,2,1.5234756346734903,2.3209780094437944,1.2242353763326788
Louvain,4.0,NormalPredictor,0.25,2,1.5218243787132955,2.3159494396461078,1.2223622954992057
Louvain,1.0,SVD,0.25,2,1.2436372393731878,1.5466335831557638,1.0176891736982494
Louvain,2.0,SVD,0.25,2,1.2395623502088389,1.53651482005526,1.0136849902431277
Louvain,3.0,SVD,0.25,2,1.231578916911476,1.5167866285808442,1.005929280282668
Louvain,4.0,SVD,0.25,2,1.2286789546600665,1.5096519736245537,1.0030842630140275
Louvain,1.0,k-NN,0.25,2,1.508483230673566,2.275521657223359,1.221267069715941
Louvain,2.0,k-NN,0.25,2,1.4928745124787832,2.2286743100087647,1.2072731720381675
Louvain,3.0,k-NN,0.25,2,1.4749134402577961,2.1753696562530873,1.1909469765447207
