community_detector,used_communities,community,algorithm_rec,test_size,split_id,train_runtime,test_runtime
Not-Applicable,,,NormalPredictor,0.25,1,0.13378524780273438,1.0193238258361816
Not-Applicable,,,SVD,0.25,1,1.013887882232666,0.20941901206970215
Not-Applicable,,,k-NN,0.25,1,0.37714052200317383,4.04910945892334
Not-Applicable,,,NMF,0.25,1,1.3131744861602783,0.32681965827941895
Not-Applicable,,,Co-Clustering,0.25,1,1.6536617279052734,0.08974814414978027
Not-Applicable,,,SlopeOne,0.25,1,0.45951294898986816,2.70000958442688
Louvain,1.0,2.0,NormalPredictor,0.25,1,0.012942790985107422,0.0055582523345947266
Louvain,1.0,99.0,NormalPredictor,0.25,1,0.08418965339660645,1.2886147499084473
Louvain,2.0,2.0,NormalPredictor,0.25,1,0.022357463836669922,0.0
Louvain,2.0,3.0,NormalPredictor,0.25,1,0.024848222732543945,0.0
Louvain,2.0,99.0,NormalPredictor,0.25,1,0.07898187637329102,0.1503753662109375
Louvain,3.0,2.0,NormalPredictor,0.25,1,0.013002634048461914,0.0016918182373046875
Louvain,3.0,3.0,NormalPredictor,0.25,1,0.014738082885742188,0.0
Louvain,3.0,0.0,NormalPredictor,0.25,1,0.017470359802246094,0.0
Louvain,3.0,99.0,NormalPredictor,0.25,1,0.07815933227539062,0.35807251930236816
Louvain,4.0,2.0,NormalPredictor,0.25,1,0.01400136947631836,0.0
Louvain,4.0,3.0,NormalPredictor,0.25,1,0.01602792739868164,0.0
Louvain,4.0,0.0,NormalPredictor,0.25,1,0.017017602920532227,0.0
Louvain,4.0,1.0,NormalPredictor,0.25,1,0.05513191223144531,0.0
Louvain,1.0,2.0,SVD,0.25,1,0.05192875862121582,0.0
Louvain,1.0,99.0,SVD,0.25,1,0.5949602127075195,0.14124655723571777
Louvain,2.0,2.0,SVD,0.25,1,0.06353521347045898,0.0
Louvain,2.0,3.0,SVD,0.25,1,0.12714862823486328,0.0
Louvain,2.0,99.0,SVD,0.25,1,0.5697882175445557,0.16185617446899414
Louvain,3.0,2.0,SVD,0.25,1,0.055719852447509766,0.0
Louvain,3.0,3.0,SVD,0.25,1,0.14162397384643555,0.0
Louvain,3.0,0.0,SVD,0.25,1,0.10081672668457031,0.0
Louvain,3.0,99.0,SVD,0.25,1,0.5832247734069824,0.3198049068450928
Louvain,4.0,2.0,SVD,0.25,1,0.05889105796813965,0.0
Louvain,4.0,3.0,SVD,0.25,1,0.13388276100158691,0.0
Louvain,4.0,0.0,SVD,0.25,1,0.09764480590820312,0.0
Louvain,4.0,1.0,SVD,0.25,1,0.4183666706085205,0.0
Louvain,1.0,2.0,k-NN,0.25,1,0.005001068115234375,0.0
Louvain,1.0,99.0,k-NN,0.25,1,0.20404267311096191,2.233025312423706
Louvain,2.0,2.0,k-NN,0.25,1,0.0180971622467041,0.0
Louvain,2.0,3.0,k-NN,0.25,1,0.014806747436523438,0.0
Louvain,2.0,99.0,k-NN,0.25,1,0.17041921615600586,1.765857458114624
Louvain,3.0,2.0,k-NN,0.25,1,0.011520862579345703,0.0
Louvain,3.0,3.0,k-NN,0.25,1,0.009001970291137695,0.0
Louvain,3.0,0.0,k-NN,0.25,1,0.011004209518432617,0.0
Louvain,3.0,99.0,k-NN,0.25,1,0.17023062705993652,1.5705087184906006
Louvain,4.0,2.0,k-NN,0.25,1,0.01652216911315918,0.0
Louvain,4.0,3.0,k-NN,0.25,1,0.00999903678894043,0.0
Louvain,4.0,0.0,k-NN,0.25,1,0.014505624771118164,0.0
Louvain,4.0,1.0,k-NN,0.25,1,0.0682840347290039,0.0
Louvain,1.0,2.0,NMF,0.25,1,0.0845482349395752,0.0
Louvain,1.0,99.0,NMF,0.25,1,0.8450489044189453,0.12633395195007324
Louvain,2.0,2.0,NMF,0.25,1,0.08877372741699219,0.0
Louvain,2.0,3.0,NMF,0.25,1,0.20395231246948242,0.0
Louvain,2.0,99.0,NMF,0.25,1,0.7751450538635254,0.2719104290008545
Louvain,3.0,2.0,NMF,0.25,1,0.10631179809570312,0.0
Louvain,3.0,3.0,NMF,0.25,1,0.22998547554016113,0.0
Louvain,3.0,0.0,NMF,0.25,1,0.15443158149719238,0.0
Louvain,3.0,99.0,NMF,0.25,1,0.847156286239624,0.1323251724243164
Louvain,4.0,2.0,NMF,0.25,1,0.10657143592834473,0.0010001659393310547
Louvain,4.0,3.0,NMF,0.25,1,0.2133774757385254,0.0
Louvain,4.0,0.0,NMF,0.25,1,0.16614723205566406,0.0
Louvain,4.0,1.0,NMF,0.25,1,0.6189322471618652,0.0
Louvain,1.0,2.0,Co-Clustering,0.25,1,0.16120576858520508,0.0
Louvain,1.0,99.0,Co-Clustering,0.25,1,1.2360153198242188,0.09932589530944824
Louvain,2.0,2.0,Co-Clustering,0.25,1,0.1903986930847168,0.0010013580322265625
Louvain,2.0,3.0,Co-Clustering,0.25,1,0.33345460891723633,0.0
Louvain,2.0,99.0,Co-Clustering,0.25,1,1.2045314311981201,0.08994245529174805
Louvain,3.0,2.0,Co-Clustering,0.25,1,0.16313505172729492,0.0
Louvain,3.0,3.0,Co-Clustering,0.25,1,0.3659684658050537,0.0
Louvain,3.0,0.0,Co-Clustering,0.25,1,0.25798773765563965,0.0
Louvain,3.0,99.0,Co-Clustering,0.25,1,1.2208263874053955,0.1005394458770752
Louvain,4.0,2.0,Co-Clustering,0.25,1,0.173126220703125,0.0
Louvain,4.0,3.0,Co-Clustering,0.25,1,0.3635430335998535,0.0
Louvain,4.0,0.0,Co-Clustering,0.25,1,0.2429485321044922,0.0
Louvain,4.0,1.0,Co-Clustering,0.25,1,0.8593647480010986,0.0
Louvain,1.0,2.0,SlopeOne,0.25,1,0.029319286346435547,0.0
Louvain,1.0,99.0,SlopeOne,0.25,1,0.3454582691192627,1.417548656463623
Louvain,2.0,2.0,SlopeOne,0.25,1,0.04399895668029785,0.0
Louvain,2.0,3.0,SlopeOne,0.25,1,0.07779407501220703,0.0
Louvain,2.0,99.0,SlopeOne,0.25,1,0.3273634910583496,1.079390525817871
Louvain,3.0,2.0,SlopeOne,0.25,1,0.04201054573059082,0.0
Louvain,3.0,3.0,SlopeOne,0.25,1,0.07201671600341797,0.0
Louvain,3.0,0.0,SlopeOne,0.25,1,0.03399515151977539,0.0
Louvain,3.0,99.0,SlopeOne,0.25,1,0.37670040130615234,1.181793451309204
Louvain,4.0,2.0,SlopeOne,0.25,1,0.03700876235961914,0.0010013580322265625
Louvain,4.0,3.0,SlopeOne,0.25,1,0.07752346992492676,0.0
Louvain,4.0,0.0,SlopeOne,0.25,1,0.03528475761413574,0.0
Louvain,4.0,1.0,SlopeOne,0.25,1,0.3081943988800049,0.0
Paris,1.0,2.0,NormalPredictor,0.25,1,0.05009865760803223,0.0
Paris,1.0,99.0,NormalPredictor,0.25,1,0.11236071586608887,0.1909012794494629
