dataset,similarity_metric,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
ml-100k,euclidean,Not-Applicable,SVD,0.25,1,0.933784392498451,0.8719532916737012,0.7369293154861636
ml-100k,euclidean,Not-Applicable,k-NN,0.25,1,0.9800404179504885,0.960479220816568,0.7734701121404285
ml-100k,euclidean,Louvain,SVD,0.25,1,1.229058110375599,1.5105838386800383,0.9957041684906093
ml-100k,euclidean,Louvain,k-NN,0.25,1,1.2870978266790494,1.6566208154419324,1.0371707348886656
ml-100k,euclidean,Paris,SVD,0.25,1,1.2385033689891913,1.533890594997577,1.0005863466015468
ml-100k,euclidean,Paris,k-NN,0.25,1,1.2710330502397356,1.6155250148017262,1.0237412904637504
ml-100k,cosine,Not-Applicable,SVD,0.25,1,0.9373905405311759,0.8787010254773301,0.7399854105658545
ml-100k,cosine,Not-Applicable,k-NN,0.25,1,0.9800404179504885,0.960479220816568,0.7734701121404285
ml-100k,cosine,Louvain,SVD,0.25,1,1.2345473613106195,1.524107187319013,0.9956176756104124
ml-100k,cosine,Louvain,k-NN,0.25,1,1.2806058495237345,1.6399513418344054,1.029971868203957
ml-100k,cosine,Paris,SVD,0.25,1,1.2400113935334658,1.5376282560928078,1.0015273860119407
ml-100k,cosine,Paris,k-NN,0.25,1,1.2661234537229575,1.6030686000673504,1.0221561001496033
ml-100k,euclidean,Not-Applicable,SVD,0.25,2,0.9414284512066259,0.8862875287413065,0.7420727127583338
ml-100k,euclidean,Not-Applicable,k-NN,0.25,2,0.9870240982540046,0.9742165705341309,0.7803256366433371
ml-100k,euclidean,Louvain,SVD,0.25,2,1.254413566421313,1.573553395621838,1.0173552598153581
ml-100k,euclidean,Louvain,k-NN,0.25,2,1.3153895513679315,1.7302496718479279,1.0557936230929277
ml-100k,euclidean,Paris,SVD,0.25,2,1.2054464123645277,1.4531010530825108,0.9769203151125081
ml-100k,euclidean,Paris,k-NN,0.25,2,1.3402660051899626,1.7963129646678608,1.0670747427380398
ml-100k,cosine,Not-Applicable,SVD,0.25,2,0.9410647155984485,0.8856027989443888,0.743082718486034
ml-100k,cosine,Not-Applicable,k-NN,0.25,2,0.9870240982540046,0.9742165705341309,0.7803256366433371
ml-100k,cosine,Louvain,SVD,0.25,2,1.2397823394819656,1.5370602492913756,1.0063536684129486
ml-100k,cosine,Louvain,k-NN,0.25,2,1.3414229633800658,1.7994155666833576,1.0749929419636395
ml-100k,cosine,Paris,SVD,0.25,2,1.2581856317865792,1.5830310840341932,1.0204830291604965
ml-100k,cosine,Paris,k-NN,0.25,2,1.302802791034626,1.6972951123276112,1.0480448375448763
ml-100k,euclidean,Not-Applicable,SVD,0.1,1,0.9249052668484491,0.8554497526440009,0.7309980479924708
ml-100k,euclidean,Not-Applicable,k-NN,0.1,1,0.9690665366786302,0.9390899525103148,0.7682266817696595
ml-100k,euclidean,Louvain,SVD,0.1,1,1.253446507284743,1.571128146624321,1.0273709113129281
ml-100k,euclidean,Louvain,k-NN,0.1,1,1.2971126644222675,1.6825012642046338,1.0510883842578653
ml-100k,euclidean,Paris,SVD,0.1,1,1.258470478860011,1.5837479461621455,1.0297999605763912
ml-100k,euclidean,Paris,k-NN,0.1,1,1.2885601984276107,1.6603873849718036,1.0447739252047095
ml-100k,cosine,Not-Applicable,SVD,0.1,1,0.9252237104418923,0.8560389143638627,0.7327489661091228
ml-100k,cosine,Not-Applicable,k-NN,0.1,1,0.9690665366786302,0.9390899525103148,0.7682266817696595
ml-100k,cosine,Louvain,SVD,0.1,1,1.2459917924169597,1.552495546770428,1.0174761464337954
ml-100k,cosine,Louvain,k-NN,0.1,1,1.3055503404184827,1.704461691366816,1.0547868104835951
ml-100k,cosine,Paris,SVD,0.1,1,1.2593969567276568,1.5860806946148833,1.029720678507093
ml-100k,cosine,Paris,k-NN,0.1,1,1.2918108354942115,1.668775234700253,1.0466205165789764
ml-100k,euclidean,Not-Applicable,SVD,0.1,2,0.9348314674602051,0.8739098725538004,0.736469262679166
ml-100k,euclidean,Not-Applicable,k-NN,0.1,2,0.9791719186950137,0.9587776463608747,0.7726035888353902
ml-100k,euclidean,Louvain,SVD,0.1,2,1.2570039004455842,1.5800588057354124,1.019531885859491
ml-100k,euclidean,Louvain,k-NN,0.1,2,1.2916515642460382,1.6683637634192374,1.0387152375185145
ml-100k,euclidean,Paris,SVD,0.1,2,1.221650638302384,1.492430282064622,0.9855689091790979
ml-100k,euclidean,Paris,k-NN,0.1,2,1.3339169832554727,1.7793345182173808,1.0555826663263261
ml-100k,cosine,Not-Applicable,SVD,0.1,2,0.9307132676396587,0.8662271865604909,0.7332188122807578
ml-100k,cosine,Not-Applicable,k-NN,0.1,2,0.9791719186950137,0.9587776463608747,0.7726035888353902
ml-100k,cosine,Louvain,SVD,0.1,2,1.2539463272979068,1.5723813917439093,1.0162738740625075
ml-100k,cosine,Louvain,k-NN,0.1,2,1.295989414079617,1.679588561406429,1.0410798926256573
ml-100k,cosine,Paris,SVD,0.1,2,1.2661579527381948,1.6031559612821769,1.0251478630911044
ml-100k,cosine,Paris,k-NN,0.1,2,1.2810945790142774,1.6412033203797687,1.03331844071489
