dataset,similarity_metric,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
ml-100k,euclidean,Not-Applicable,SVD,0.25,1,0.9383893002749829,0.8805744788705719,0.7379890943454818
ml-100k,euclidean,Not-Applicable,k-NN,0.25,1,0.9819266427761725,0.964179931793685,0.7751627075533745
ml-100k,euclidean,Not-Applicable,NMF,0.25,1,0.9650424816159685,0.9313069913235068,0.7581863328020744
ml-100k,euclidean,Not-Applicable,Co-Clustering,0.25,1,0.9804919376349678,0.9613644397671736,0.7669747400915802
ml-100k,euclidean,Louvain,SVD,0.25,1,1.2370060220697243,1.5301838986367635,1.0013251906054854
ml-100k,euclidean,Louvain,k-NN,0.25,1,1.2999447048309933,1.6898562356181386,1.0469900050455503
ml-100k,euclidean,Louvain,NMF,0.25,1,1.3841014317471552,1.9157367733645247,1.1194256278571248
ml-100k,euclidean,Louvain,Co-Clustering,0.25,1,1.36181764733096,1.854547304582031,1.0957308896793856
ml-100k,euclidean,Paris,SVD,0.25,1,1.232792858891432,1.5197782329337102,1.0001370501001785
ml-100k,euclidean,Paris,k-NN,0.25,1,1.3007053477518455,1.6918344016702493,1.0457614523728576
ml-100k,euclidean,Paris,NMF,0.25,1,1.3877612393041874,1.9258812573150939,1.1191098245644011
ml-100k,euclidean,Paris,Co-Clustering,0.25,1,1.364210799210811,1.8610711046833999,1.09677296709442
ml-100k,euclidean,Surprise,SVD,0.25,1,1.2246447482145248,1.4997547593294167,0.9890745930021678
ml-100k,euclidean,Surprise,k-NN,0.25,1,1.2676272226461467,1.6068787755935834,1.0150250817867894
ml-100k,euclidean,Surprise,NMF,0.25,1,1.2899553603572647,1.6639848317144408,1.0386304345058897
ml-100k,euclidean,Surprise,Co-Clustering,0.25,1,1.2978953881671258,1.684532438625494,1.0406412923332966
ml-100k,cosine,Not-Applicable,SVD,0.25,1,0.9419897488112958,0.8873446868655682,0.7424877297927766
ml-100k,cosine,Not-Applicable,k-NN,0.25,1,0.9819266427761725,0.964179931793685,0.7751627075533745
ml-100k,cosine,Not-Applicable,NMF,0.25,1,0.9655560750656893,0.932298534096259,0.7573424126096586
ml-100k,cosine,Not-Applicable,Co-Clustering,0.25,1,0.9686008094427484,0.9381875280531474,0.7560266451125852
ml-100k,cosine,Louvain,SVD,0.25,1,1.2301797640801249,1.5133422519522317,0.9978222847267714
ml-100k,cosine,Louvain,k-NN,0.25,1,1.3121980804475346,1.7218638023301944,1.0544643149927162
ml-100k,cosine,Louvain,NMF,0.25,1,1.3864662095138058,1.9222885501235805,1.1203531617325846
ml-100k,cosine,Louvain,Co-Clustering,0.25,1,1.3783917295504793,1.8999637600931616,1.107889522600198
ml-100k,cosine,Paris,SVD,0.25,1,1.2379888732400297,1.5326164502661181,1.0036986099457472
ml-100k,cosine,Paris,k-NN,0.25,1,1.2811623433602082,1.6413769500442197,1.0340308432419332
ml-100k,cosine,Paris,NMF,0.25,1,1.3558703424763967,1.8383843856070612,1.095036484457958
ml-100k,cosine,Paris,Co-Clustering,0.25,1,1.3489851227315344,1.8197608613510128,1.0853067947625321
ml-100k,cosine,Surprise,SVD,0.25,1,1.2158974965164016,1.4784067220348527,0.9844861235767872
ml-100k,cosine,Surprise,k-NN,0.25,1,1.3076529268334414,1.7099561770560654,1.0499098084546699
ml-100k,cosine,Surprise,NMF,0.25,1,1.3635601734482512,1.859296346614225,1.0997822251315663
ml-100k,cosine,Surprise,Co-Clustering,0.25,1,1.3413485982317057,1.7992160619781619,1.080003349212209
ml-100k,l1,Not-Applicable,SVD,0.25,1,0.9371392172852833,0.8782299125740733,0.7378388619555949
ml-100k,l1,Not-Applicable,k-NN,0.25,1,0.9819266427761725,0.964179931793685,0.7751627075533745
ml-100k,l1,Not-Applicable,NMF,0.25,1,0.9660149930917711,0.9331849668780946,0.7564351394215164
