detector,size,algorec,best_n
Louvain,0.25,Co-Clustering,2.0
Louvain,0.25,NMF,2.0
Louvain,0.25,NormalPredictor,1.0
Louvain,0.25,SVD,3.0
Louvain,0.25,SlopeOne,2.0
Louvain,0.25,k-NN,2.0
Louvain,0.1,Co-Clustering,2.0
Louvain,0.1,NMF,2.0
Louvain,0.1,NormalPredictor,1.0
Louvain,0.1,SVD,2.0
Louvain,0.1,SlopeOne,2.0
Louvain,0.1,k-NN,2.0
Louvain,0.01,Co-Clustering,4.0
Louvain,0.01,NMF,4.0
Louvain,0.01,NormalPredictor,4.0
Louvain,0.01,SVD,4.0
Louvain,0.01,SlopeOne,4.0
Louvain,0.01,k-NN,4.0
Paris,0.25,Co-Clustering,32.0
Paris,0.25,NMF,32.0
Paris,0.25,NormalPredictor,1.0
Paris,0.25,SVD,31.0
Paris,0.25,SlopeOne,32.0
Paris,0.25,k-NN,32.0
Paris,0.1,Co-Clustering,19.0
Paris,0.1,NMF,19.0
Paris,0.1,NormalPredictor,20.0
Paris,0.1,SVD,19.0
Paris,0.1,SlopeOne,19.0
Paris,0.1,k-NN,19.0
Paris,0.01,Co-Clustering,21.0
Paris,0.01,NMF,21.0
Paris,0.01,NormalPredictor,25.0
Paris,0.01,SVD,21.0
Paris,0.01,SlopeOne,21.0
Paris,0.01,k-NN,21.0
