community_detector,used_communities,algorithm_rec,test_size,split_id,rmse,mse,mae
Not-Applicable,,NormalPredictor,0.25,1,1.738818242220552,3.0234888794789705,1.4118472993764535
Not-Applicable,,SVD,0.25,1,1.2332108218366231,1.5208089310949595,1.0202472494521644
Not-Applicable,,k-NN,0.25,1,1.2107508437970087,1.4659176057551686,0.9971461221663859
Not-Applicable,,NMF,0.25,1,1.1221194811116937,1.2591521298903767,0.917852398145048
Not-Applicable,,Co-Clustering,0.25,1,1.2114334598928758,1.4675710277480238,0.991725185051293
Not-Applicable,,SlopeOne,0.25,1,1.2789885688317568,1.6358117592023056,1.0541047817604812
Louvain,1.0,NormalPredictor,0.25,1,1.7580288972091895,3.090665603422559,1.418535635291404
Louvain,2.0,NormalPredictor,0.25,1,1.7421570409446283,3.035111155312943,1.4128149943450738
Louvain,3.0,NormalPredictor,0.25,1,1.7424183295681042,3.0360216352149028,1.4106794860363419
Louvain,1.0,SVD,0.25,1,1.3277424429391098,1.762899994781915,1.0880240727306332
Louvain,2.0,SVD,0.25,1,1.3259932312774458,1.7582580493936018,1.0848406448234513
Louvain,3.0,SVD,0.25,1,1.326697260441855,1.760125620863923,1.085801565892578
Louvain,1.0,k-NN,0.25,1,1.2862010827577521,1.6543132252872137,1.0538728901805055
Louvain,2.0,k-NN,0.25,1,1.2825894793927899,1.6450357726490679,1.0474534904980264
Louvain,3.0,k-NN,0.25,1,1.2838259956729794,1.648209187165717,1.049542135814268
Louvain,1.0,NMF,0.25,1,1.2862010827577521,1.6543132252872137,1.0538728901805055
Louvain,2.0,NMF,0.25,1,1.2825894793927899,1.6450357726490679,1.0474534904980264
Louvain,3.0,NMF,0.25,1,1.2838259956729794,1.648209187165717,1.049542135814268
Louvain,1.0,Co-Clustering,0.25,1,1.2862010827577521,1.6543132252872137,1.0538728901805055
Louvain,2.0,Co-Clustering,0.25,1,1.2825894793927899,1.6450357726490679,1.0474534904980264
Louvain,3.0,Co-Clustering,0.25,1,1.2838259956729794,1.648209187165717,1.049542135814268
Louvain,1.0,SlopeOne,0.25,1,1.2862010827577521,1.6543132252872137,1.0538728901805055
Louvain,2.0,SlopeOne,0.25,1,1.2825894793927899,1.6450357726490679,1.0474534904980264
Louvain,3.0,SlopeOne,0.25,1,1.2838259956729794,1.648209187165717,1.049542135814268
Paris,1.0,NormalPredictor,0.25,1,1.7269339861548796,2.9823009925367816,1.3943288196743417
Paris,2.0,NormalPredictor,0.25,1,1.7154829873722977,2.942881879963783,1.3918969036638145
Paris,3.0,NormalPredictor,0.25,1,1.704782834380451,2.906284512398244,1.379499772021145
Paris,4.0,NormalPredictor,0.25,1,1.7040094908688723,2.903648344971194,1.3807040387900356
Paris,5.0,NormalPredictor,0.25,1,1.7205433082171493,2.9602692754508126,1.395175792557979
Paris,6.0,NormalPredictor,0.25,1,1.7188439244757765,2.954424436707289,1.3900906887984277
Paris,7.0,NormalPredictor,0.25,1,1.7126505055585342,2.9331717541899027,1.3830345856442565
Paris,8.0,NormalPredictor,0.25,1,1.7107371036074301,2.926621437659139,1.3822140559739229
Paris,9.0,NormalPredictor,0.25,1,1.7168120720746827,2.9474436908213653,1.388274951613628
Paris,10.0,NormalPredictor,0.25,1,1.7188819400728272,2.9545551239085266,1.3913924055201368
Paris,11.0,NormalPredictor,0.25,1,1.7197226513233943,2.957445997474765,1.3939623018883642
Paris,12.0,NormalPredictor,0.25,1,1.72029018484498,2.959398320073976,1.394164767984711
Paris,13.0,NormalPredictor,0.25,1,1.7177353126416748,2.9506146042961925,1.3911293893852972
Paris,14.0,NormalPredictor,0.25,1,1.7158580091090685,2.944168707423736,1.3888187552570195
Paris,15.0,NormalPredictor,0.25,1,1.7163807705279115,2.9459629494379875,1.3898125282049096
Paris,16.0,NormalPredictor,0.25,1,1.7165318258074027,2.946481509009695,1.3906094277731635
Paris,17.0,NormalPredictor,0.25,1,1.7160400902687145,2.944793591409458,1.3896617711013943
Paris,18.0,NormalPredictor,0.25,1,1.7138989798590651,2.937449713161944,1.3886969657388273
Paris,19.0,NormalPredictor,0.25,1,1.7152776690112665,2.942177481808724,1.3904383727803398
Paris,20.0,NormalPredictor,0.25,1,1.7143834778626674,2.9391107091684954,1.3889540521919486
Paris,21.0,NormalPredictor,0.25,1,1.7122219687157112,2.9317040701527057,1.3871132652574611
Paris,22.0,NormalPredictor,0.25,1,1.7123472298707707,2.932133035646102,1.38716408981344
