community_detector,used_communities,community,algorithm_rec,test_size,split_id,train_runtime,test_runtime
Not-Applicable,,,NormalPredictor,0.25,1,0.004999637603759766,0.011000394821166992
Not-Applicable,,,SVD,0.25,1,0.05590057373046875,0.007620334625244141
Not-Applicable,,,k-NN,0.25,1,0.004000186920166016,0.06264281272888184
Not-Applicable,,,NMF,0.25,1,0.041905879974365234,0.0069997310638427734
Not-Applicable,,,Co-Clustering,0.25,1,0.07747030258178711,0.004780769348144531
Not-Applicable,,,SlopeOne,0.25,1,0.0029993057250976562,0.07619476318359375
Louvain,1.0,1.0,NormalPredictor,0.25,1,0.0,0.001999378204345703
Louvain,1.0,99.0,NormalPredictor,0.25,1,0.003000497817993164,0.00946664810180664
Louvain,2.0,1.0,NormalPredictor,0.25,1,0.001026153564453125,0.0020012855529785156
Louvain,2.0,3.0,NormalPredictor,0.25,1,0.0,0.004007577896118164
Louvain,2.0,99.0,NormalPredictor,0.25,1,0.003000974655151367,0.00781702995300293
Louvain,3.0,1.0,NormalPredictor,0.25,1,0.0,0.001001596450805664
Louvain,3.0,3.0,NormalPredictor,0.25,1,0.0009987354278564453,0.0027434825897216797
Louvain,3.0,0.0,NormalPredictor,0.25,1,0.0019998550415039062,0.0032796859741210938
Louvain,3.0,99.0,NormalPredictor,0.25,1,0.0030002593994140625,0.007002115249633789
Louvain,4.0,1.0,NormalPredictor,0.25,1,0.0,0.002000093460083008
Louvain,4.0,3.0,NormalPredictor,0.25,1,0.002000570297241211,0.0019996166229248047
Louvain,4.0,0.0,NormalPredictor,0.25,1,0.0009992122650146484,0.003000020980834961
Louvain,4.0,2.0,NormalPredictor,0.25,1,0.00099945068359375,0.0009999275207519531
Louvain,1.0,1.0,SVD,0.25,1,0.003000974655151367,0.0010001659393310547
Louvain,1.0,99.0,SVD,0.25,1,0.022907018661499023,0.0029997825622558594
Louvain,2.0,1.0,SVD,0.25,1,0.004999399185180664,0.0010132789611816406
Louvain,2.0,3.0,SVD,0.25,1,0.007000446319580078,0.001999378204345703
Louvain,2.0,99.0,SVD,0.25,1,0.024317264556884766,0.003968954086303711
Louvain,3.0,1.0,SVD,0.25,1,0.0050008296966552734,0.0010001659393310547
Louvain,3.0,3.0,SVD,0.25,1,0.006997823715209961,0.0009999275207519531
Louvain,3.0,0.0,SVD,0.25,1,0.005934953689575195,0.0019998550415039062
Louvain,3.0,99.0,SVD,0.25,1,0.017132997512817383,0.003999233245849609
Louvain,4.0,1.0,SVD,0.25,1,0.004002809524536133,0.0
Louvain,4.0,3.0,SVD,0.25,1,0.0048389434814453125,0.0009992122650146484
Louvain,4.0,0.0,SVD,0.25,1,0.007998943328857422,0.00012040138244628906
Louvain,4.0,2.0,SVD,0.25,1,0.00699925422668457,0.0019998550415039062
Louvain,1.0,1.0,k-NN,0.25,1,0.001001596450805664,0.0009999275207519531
Louvain,1.0,99.0,k-NN,0.25,1,0.002000093460083008,0.003999948501586914
Louvain,2.0,1.0,k-NN,0.25,1,0.0009999275207519531,0.0
